Date,Season,Road Team,,,Home Team,,Results,
"Sam./Sat., 17 Fev./Feb. 2001",2000-01,Washington Capitals,6,@,Montreal Canadiens,3,L,summary
"Sunday, February 18, 2001",2000-01,Montreal Canadiens,0,@,Ottawa Senators,4,L,summary
"Mer./Wed., 21 Fev./Feb. 2001",2000-01,Vancouver Canucks,2,@,Montreal Canadiens,1,L,summary
"Friday, February 23, 2001",2000-01,Montreal Canadiens,1,@,Washington Capitals,3,L,summary
"Saturday, February 24, 2001",2000-01,Montreal Canadiens,1,@,Toronto Maple Leafs,5,L,summary
"Tuesday, February 27, 2001",2000-01,Montreal Canadiens,3,@,Philadelphia Flyers,2,W,summary
"Mer./Wed., 28 Fev./Feb. 2001",2000-01,Pittsburgh Penguins,2,@,Montreal Canadiens,4,W,summary
"Sam./Sat., 3 Mar. 2001",2000-01,Philadelphia Flyers,1,@,Montreal Canadiens,3,W,summary
"Tuesday, March 6, 2001",2000-01,Montreal Canadiens,3,@,Los Angeles Kings,4,L,summary
"Wednesday, March 7, 2001",2000-01,Montreal Canadiens,2,@,Anaheim Mighty Ducks,4,L,summary
"Saturday, March 10, 2001",2000-01,Montreal Canadiens,3,@,Phoenix Coyotes,3,T,summary
"Monday, March 12, 2001",2000-01,Montreal Canadiens,0,@,San Jose Sharks,3,L,summary
"Wednesday, March 14, 2001",2000-01,Montreal Canadiens,6,@,Carolina Hurricanes,3,W (OT),summary
"Sam./Sat., 17 Mar. 2001",2000-01,Boston Bruins,3,@,Montreal Canadiens,2,L,summary
"Mar./Tue., 20 Mar. 2001",2000-01,Florida Panthers,3,@,Montreal Canadiens,3,T,summary
"Thursday, March 22, 2001",2000-01,Montreal Canadiens,2,@,Boston Bruins,3,L (OT),summary
"Sam./Sat., 24 Mar. 2001",2000-01,Atlanta Thrashers,3,@,Montreal Canadiens,2,L,summary
"Monday, March 26, 2001",2000-01,Montreal Canadiens,4,@,Carolina Hurricanes,2,W,summary
"Wednesday, March 28, 2001",2000-01,Montreal Canadiens,2,@,Florida Panthers,2,T,summary
"Thursday, March 29, 2001",2000-01,Montreal Canadiens,6,@,Tampa Bay Lightning,2,W,summary
"Sam./Sat., 31 Mar. 2001",2000-01,Toronto Maple Leafs,1,@,Montreal Canadiens,4,W,summary
"Monday, April 2, 2001",2000-01,Montreal Canadiens,2,@,Boston Bruins,3,L (OT),summary
"Jeu./Thu., 5 Avr./Apr. 2001",2000-01,Philadelphia Flyers,2,@,Montreal Canadiens,3,W (OT),summary
"Saturday, April 7, 2001",2000-01,New Jersey Devils,2,@,Montreal Canadiens,0,L,summary
"Thursday, October 4, 2001",2001-02,Montreal Canadiens,6,@,Ottawa Senators,4,W,summary
"Sam./Sat., 6 Oct. 2001",2001-02,Toronto Maple Leafs,2,@,Montreal Canadiens,2,T,summary
"Mar./Tue., 9 Oct. 2001",2001-02,Anaheim Mighty Ducks,1,@,Montreal Canadiens,3,W,summary
"Friday, October 12, 2001",2001-02,Montreal Canadiens,3,@,Columbus Blue Jackets,1,W,summary
"Sam./Sat., 13 Oct. 2001",2001-02,New Jersey Devils,1,@,Montreal Canadiens,3,W,summary
"Lun./Mon., 15 Oct. 2001",2001-02,New York Rangers,2,@,Montreal Canadiens,1,L,summary
"Friday, October 19, 2001",2001-02,Montreal Canadiens,1,@,Washington Capitals,4,L,summary
"Sam./Sat., 20 Oct. 2001",2001-02,Buffalo Sabres,3,@,Montreal Canadiens,1,L,summary
"Friday, October 26, 2001",2001-02,Montreal Canadiens,5,@,Buffalo Sabres,2,W,summary
"Sam./Sat., 27 Oct. 2001",2001-02,Philadelphia Flyers,5,@,Montreal Canadiens,1,L,summary
"Tuesday, October 30, 2001",2001-02,Montreal Canadiens,1,@,Edmonton Oilers,3,L,summary
"Thursday, November 1, 2001",2001-02,Montreal Canadiens,0,@,Vancouver Canucks,4,L,summary
"Saturday, November 3, 2001",2001-02,Montreal Canadiens,2,@,Calgary Flames,6,L,summary
"Mar./Tue., 6 Nov. 2001",2001-02,Colorado Avalanche,1,@,Montreal Canadiens,1,T,summary
"Jeu./Thu., 8 Nov. 2001",2001-02,Nashville Predators,1,@,Montreal Canadiens,3,W,summary
"Sam./Sat., 10 Nov. 2001",2001-02,New York Islanders,2,@,Montreal Canadiens,3,W,summary
"Sunday, November 11, 2001",2001-02,Montreal Canadiens,2,@,New York Rangers,3,L (OT),summary
"Tuesday, November 13, 2001",2001-02,Montreal Canadiens,3,@,Boston Bruins,5,L,summary
"Sam./Sat., 17 Nov. 2001",2001-02,Florida Panthers,0,@,Montreal Canadiens,1,W (OT),summary
"Mar./Tue., 20 Nov. 2001",2001-02,Boston Bruins,2,@,Montreal Canadiens,3,W,summary
"Thursday, November 22, 2001",2001-02,Montreal Canadiens,5,@,Atlanta Thrashers,2,W,summary
"Sam./Sat., 24 Nov. 2001",2001-02,Washington Capitals,3,@,Montreal Canadiens,5,W,summary
"Mar./Tue., 27 Nov. 2001",2001-02,Atlanta Thrashers,1,@,Montreal Canadiens,5,W,summary
"Thursday, November 29, 2001",2001-02,Montreal Canadiens,1,@,New York Islanders,1,T,summary
"Sam./Sat., 1 Dec. 2001",2001-02,New York Rangers,3,@,Montreal Canadiens,1,L,summary
"Lun./Mon., 3 Dec. 2001",2001-02,Chicago Blackhawks,3,@,Montreal Canadiens,2,L,summary
"Mer./Wed., 5 Dec. 2001",2001-02,New Jersey Devils,2,@,Montreal Canadiens,1,L,summary
"Sam./Sat., 8 Dec. 2001",2001-02,Phoenix Coyotes,3,@,Montreal Canadiens,3,T,summary
"Lun./Mon., 10 Dec. 2001",2001-02,Minnesota Wild,0,@,Montreal Canadiens,4,W,summary
"Wednesday, December 12, 2001",2001-02,Montreal Canadiens,3,@,Atlanta Thrashers,3,T,summary
"Thursday, December 13, 2001",2001-02,Montreal Canadiens,3,@,Philadelphia Flyers,2,W,summary
"Saturday, December 15, 2001",2001-02,Montreal Canadiens,4,@,Toronto Maple Leafs,6,L,summary
"Lun./Mon., 17 Dec. 2001",2001-02,Tampa Bay Lightning,4,@,Montreal Canadiens,3,L,summary
"Wednesday, December 19, 2001",2001-02,Montreal Canadiens,3,@,Pittsburgh Penguins,1,W,summary
"Thursday, December 20, 2001",2001-02,Montreal Canadiens,0,@,Boston Bruins,5,L,summary
"Sam./Sat., 22 Dec. 2001",2001-02,Los Angeles Kings,1,@,Montreal Canadiens,2,W,summary
"Wednesday, December 26, 2001",2001-02,Montreal Canadiens,1,@,Buffalo Sabres,3,L,summary
"Friday, December 28, 2001",2001-02,Montreal Canadiens,0,@,St Louis Blues,3,L,summary
"Saturday, December 29, 2001",2001-02,Montreal Canadiens,5,@,New York Islanders,6,L (OT),summary
"Thursday, January 3, 2002",2001-02,Montreal Canadiens,2,@,Vancouver Canucks,5,L,summary
"Saturday, January 5, 2002",2001-02,Montreal Canadiens,4,@,Calgary Flames,2,W,summary
"Sunday, January 6, 2002",2001-02,Montreal Canadiens,6,@,Edmonton Oilers,7,L,summary
"Tuesday, January 8, 2002",2001-02,Montreal Canadiens,2,@,Minnesota Wild,4,L,summary
"Jeu./Thu., 10 Jan. 2002",2001-02,New York Islanders,0,@,Montreal Canadiens,4,W,summary
"Saturday, January 12, 2002",2001-02,Montreal Canadiens,1,@,Toronto Maple Leafs,1,T,summary
"Lun./Mon., 14 Jan. 2002",2001-02,Philadelphia Flyers,5,@,Montreal Canadiens,3,L,summary
"Mer./Wed., 16 Jan. 2002",2001-02,Washington Capitals,0,@,Montreal Canadiens,2,W,summary
"Thursday, January 17, 2002",2001-02,Montreal Canadiens,1,@,Carolina Hurricanes,1,T,summary
"Saturday, January 19, 2002",2001-02,Montreal Canadiens,5,@,Tampa Bay Lightning,1,W,summary
"Monday, January 21, 2002",2001-02,Montreal Canadiens,5,@,Florida Panthers,7,L,summary
"Wednesday, January 23, 2002",2001-02,Montreal Canadiens,5,@,Washington Capitals,3,W,summary
"Sam./Sat., 26 Jan. 2002",2001-02,Ottawa Senators,1,@,Montreal Canadiens,1,T,summary
"Dim./Sun., 27 Jan. 2002",2001-02,San Jose Sharks,1,@,Montreal Canadiens,3,W,summary
"Mer./Wed., 30 Jan. 2002",2001-02,Boston Bruins,4,@,Montreal Canadiens,3,L (OT),summary
"Tuesday, February 5, 2002",2001-02,Montreal Canadiens,1,@,New Jersey Devils,0,W,summary
"Jeu./Thu., 7 Fev./Feb. 2002",2001-02,Pittsburgh Penguins,0,@,Montreal Canadiens,1,W,summary
"Saturday, February 9, 2002",2001-02,Montreal Canadiens,1,@,Toronto Maple Leafs,4,L,summary
"Lun./Mon., 11 Fev./Feb. 2002",2001-02,Detroit Red Wings,3,@,Montreal Canadiens,2,L,summary
"Mar./Tue., 26 Fev./Feb. 2002",2001-02,Ottawa Senators,5,@,Montreal Canadiens,2,L,summary
"Wednesday, February 27, 2002",2001-02,Montreal Canadiens,3,@,Chicago Blackhawks,2,W,summary
"Sam./Sat., 2 Mar. 2002",2001-02,Carolina Hurricanes,4,@,Montreal Canadiens,3,L,summary
"Lun./Mon., 4 Mar. 2002",2001-02,Atlanta Thrashers,3,@,Montreal Canadiens,5,W,summary
"Mer./Wed., 6 Mar. 2002",2001-02,Boston Bruins,3,@,Montreal Canadiens,5,W,summary
"Friday, March 8, 2002",2001-02,Montreal Canadiens,0,@,Buffalo Sabres,3,L,summary
"Sam./Sat., 9 Mar. 2002",2001-02,Toronto Maple Leafs,1,@,Montreal Canadiens,1,T,summary
"Monday, March 11, 2002",2001-02,Montreal Canadiens,1,@,New York Rangers,2,L,summary
"Jeu./Thu., 14 Mar. 2002",2001-02,Dallas Stars,3,@,Montreal Canadiens,3,T,summary
"Sam./Sat., 16 Mar. 2002",2001-02,Carolina Hurricanes,2,@,Montreal Canadiens,3,W,summary
"Monday, March 18, 2002",2001-02,Montreal Canadiens,1,@,Carolina Hurricanes,1,T,summary
"Wednesday, March 20, 2002",2001-02,Montreal Canadiens,4,@,Florida Panthers,1,W,summary
"Friday, March 22, 2002",2001-02,Montreal Canadiens,3,@,Tampa Bay Lightning,3,T,summary
"Saturday, March 23, 2002",2001-02,Montreal Canadiens,1,@,Nashville Predators,5,L,summary
"Mar./Tue., 26 Mar. 2002",2001-02,Florida Panthers,2,@,Montreal Canadiens,1,L,summary
"Jeu./Thu., 28 Mar. 2002",2001-02,Tampa Bay Lightning,1,@,Montreal Canadiens,2,W,summary
"Sam./Sat., 30 Mar. 2002",2001-02,Pittsburgh Penguins,1,@,Montreal Canadiens,2,W (OT),summary
"Monday, April 1, 2002",2001-02,Montreal Canadiens,3,@,Pittsburgh Penguins,0,W,summary
"Thursday, April 4, 2002",2001-02,Montreal Canadiens,3,@,Philadelphia Flyers,1,W,summary
"Sam./Sat., 6 Avr./Apr. 2002",2001-02,Columbus Blue Jackets,1,@,Montreal Canadiens,4,W,summary
"Sunday, April 7, 2002",2001-02,Montreal Canadiens,3,@,Ottawa Senators,1,W,summary
"Mar./Tue., 9 Avr./Apr. 2002",2001-02,Ottawa Senators,3,@,Montreal Canadiens,4,W,summary
"Friday, April 12, 2002",2001-02,Montreal Canadiens,2,@,New Jersey Devils,5,L,summary
"Sam./Sat., 13 Avr./Apr. 2002",2001-02,Buffalo Sabres,3,@,Montreal Canadiens,0,L,summary
"Thursday, October 9, 2003",2003-04,Montreal Canadiens,2,@,Ottawa Senators,5,L,summary
"Saturday, October 11, 2003",2003-04,Montreal Canadiens,4,@,Toronto Maple Leafs,0,W,summary
"Mar./Tue., 14 Oct. 2003",2003-04,Washington Capitals,1,@,Montreal Canadiens,5,W,summary
"Jeu./Thu., 16 Oct. 2003",2003-04,Pittsburgh Penguins,1,@,Montreal Canadiens,4,W,summary
"Sam./Sat., 18 Oct. 2003",2003-04,Toronto Maple Leafs,1,@,Montreal Canadiens,0,L,summary
"Lun./Mon., 20 Oct. 2003",2003-04,Detroit Red Wings,1,@,Montreal Canadiens,2,W,summary
"Jeu./Thu., 23 Oct. 2003",2003-04,New York Islanders,0,@,Montreal Canadiens,3,W,summary
"Sam./Sat., 25 Oct. 2003",2003-04,Ottawa Senators,6,@,Montreal Canadiens,2,L,summary
"Monday, October 27, 2003",2003-04,Montreal Canadiens,0,@,Philadelphia Flyers,5,L,summary
"Mar./Tue., 28 Oct. 2003",2003-04,Boston Bruins,2,@,Montreal Canadiens,0,L,summary
"Thursday, October 30, 2003",2003-04,Montreal Canadiens,1,@,Boston Bruins,0,W (OT),summary
"Sam./Sat., 1 Nov. 2003",2003-04,New York Rangers,5,@,Montreal Canadiens,1,L,summary
"Mar./Tue., 4 Nov. 2003",2003-04,Edmonton Oilers,4,@,Montreal Canadiens,2,L,summary
"Friday, November 7, 2003",2003-04,Montreal Canadiens,1,@,Buffalo Sabres,2,L,summary
"Sam./Sat., 8 Nov. 2003",2003-04,Buffalo Sabres,0,@,Montreal Canadiens,3,W,summary
"Mar./Tue., 11 Nov. 2003",2003-04,Columbus Blue Jackets,1,@,Montreal Canadiens,1,T,summary
"Thursday, November 13, 2003",2003-04,Montreal Canadiens,1,@,New York Islanders,3,L,summary
"Saturday, November 15, 2003",2003-04,Montreal Canadiens,3,@,Ottawa Senators,2,W,summary
"Tuesday, November 18, 2003",2003-04,Montreal Canadiens,4,@,Vancouver Canucks,5,L (OT),summary
"Thursday, November 20, 2003",2003-04,Montreal Canadiens,1,@,Calgary Flames,2,L,summary
"Saturday, November 22, 2003",2003-04,Montreal Canadiens,4,@,Edmonton Oilers,3,W,summary
"Mar./Tue., 25 Nov. 2003",2003-04,Vancouver Canucks,5,@,Montreal Canadiens,2,L,summary
"Friday, November 28, 2003",2003-04,Montreal Canadiens,5,@,Washington Capitals,3,W,summary
"Sam./Sat., 29 Nov. 2003",2003-04,Florida Panthers,1,@,Montreal Canadiens,1,T,summary
"Mar./Tue., 2 Dec. 2003",2003-04,Tampa Bay Lightning,2,@,Montreal Canadiens,3,W,summary
"Friday, December 5, 2003",2003-04,Montreal Canadiens,1,@,Carolina Hurricanes,1,T,summary
"Sam./Sat., 6 Dec. 2003",2003-04,Carolina Hurricanes,1,@,Montreal Canadiens,3,W,summary
"Lun./Mon., 8 Dec. 2003",2003-04,Philadelphia Flyers,3,@,Montreal Canadiens,2,L,summary
"Wednesday, December 10, 2003",2003-04,Montreal Canadiens,2,@,New York Rangers,1,W,summary
"Friday, December 12, 2003",2003-04,Montreal Canadiens,2,@,Florida Panthers,4,L,summary
"Saturday, December 13, 2003",2003-04,Montreal Canadiens,5,@,Tampa Bay Lightning,2,W,summary
"Mar./Tue., 16 Dec. 2003",2003-04,Boston Bruins,1,@,Montreal Canadiens,1,T,summary
"Jeu./Thu., 18 Dec. 2003",2003-04,Nashville Predators,4,@,Montreal Canadiens,5,W (OT),summary
"Saturday, December 20, 2003",2003-04,Montreal Canadiens,2,@,Toronto Maple Leafs,4,L,summary
"Lun./Mon., 22 Dec. 2003",2003-04,Pittsburgh Penguins,1,@,Montreal Canadiens,4,W,summary
"Tuesday, December 23, 2003",2003-04,Montreal Canadiens,2,@,Washington Capitals,3,L,summary
"Saturday, December 27, 2003",2003-04,Montreal Canadiens,1,@,Carolina Hurricanes,2,L (OT),summary
"Monday, December 29, 2003",2003-04,Montreal Canadiens,2,@,Atlanta Thrashers,1,W,summary
"Wednesday, December 31, 2003",2003-04,Montreal Canadiens,1,@,Dallas Stars,1,T,summary
"Sam./Sat., 3 Jan. 2004",2003-04,Atlanta Thrashers,1,@,Montreal Canadiens,5,W,summary
"Dim./Sun., 4 Jan. 2004",2003-04,Washington Capitals,1,@,Montreal Canadiens,4,W,summary
"Mar./Tue., 6 Jan. 2004",2003-04,Buffalo Sabres,1,@,Montreal Canadiens,3,W,summary
"Jeu./Thu., 8 Jan. 2004",2003-04,Tampa Bay Lightning,4,@,Montreal Canadiens,1,L,summary
"Saturday, January 10, 2004",2003-04,Montreal Canadiens,8,@,Pittsburgh Penguins,0,W,summary
"Mar./Tue., 13 Jan. 2004",2003-04,St. Louis Blues,2,@,Montreal Canadiens,5,W,summary
"Wednesday, January 14, 2004",2003-04,Montreal Canadiens,2,@,Atlanta Thrashers,1,W,summary
"Sam./Sat., 17 Jan. 2004",2003-04,New York Rangers,2,@,Montreal Canadiens,2,T,summary
"Tuesday, January 20, 2004",2003-04,Montreal Canadiens,4,@,Philadelphia Flyers,1,W,summary
"Friday, January 23, 2004",2003-04,Montreal Canadiens,0,@,New Jersey Devils,2,L,summary
"Sam./Sat., 24 Jan. 2004",2003-04,Toronto Maple Leafs,4,@,Montreal Canadiens,1,L,summary
"Tuesday, January 27, 2004",2003-04,Montreal Canadiens,1,@,Buffalo Sabres,4,L,summary
"Thursday, January 29, 2004",2003-04,Montreal Canadiens,3,@,Minnesota Wild,2,W (OT),summary
"Sam./Sat., 31 Jan. 2004",2003-04,Boston Bruins,1,@,Montreal Canadiens,0,L,summary
"Dim./Sun., 1 Fev./Feb. 2004",2003-04,Chicago Blackhawks,4,@,Montreal Canadiens,6,W,summary
"Tuesday, February 3, 2004",2003-04,Montreal Canadiens,4,@,Pittsburgh Penguins,3,W,summary
"Jeu./Thu., 5 Fev./Feb. 2004",2003-04,New York Islanders,1,@,Montreal Canadiens,2,W,summary
"Tuesday, February 10, 2004",2003-04,Montreal Canadiens,1,@,Florida Panthers,2,L,summary
"Thursday, February 12, 2004",2003-04,Montreal Canadiens,3,@,Tampa Bay Lightning,5,L,summary
"Saturday, February 14, 2004",2003-04,Montreal Canadiens,2,@,Ottawa Senators,5,L,summary
"Mar./Tue., 17 Fev./Feb. 2004",2003-04,Atlanta Thrashers,4,@,Montreal Canadiens,1,L,summary
"Jeu./Thu., 19 Fev./Feb. 2004",2003-04,Calgary Flames,1,@,Montreal Canadiens,4,W,summary
"Saturday, February 21, 2004",2003-04,Montreal Canadiens,4,@,Toronto Maple Leafs,5,L,summary
"Monday, February 23, 2004",2003-04,Montreal Canadiens,4,@,New York Rangers,1,W,summary
"Mar./Tue., 24 Fev./Feb. 2004",2003-04,Ottawa Senators,2,@,Montreal Canadiens,4,W,summary
"Thursday, February 26, 2004",2003-04,Montreal Canadiens,3,@,Boston Bruins,2,W (OT),summary
"Sam./Sat., 28 Fev./Feb. 2004",2003-04,Carolina Hurricanes,0,@,Montreal Canadiens,1,W (OT),summary
"Lun./Mon., 1 Mar. 2004",2003-04,New Jersey Devils,1,@,Montreal Canadiens,2,W,summary
"Wednesday, March 3, 2004",2003-04,Montreal Canadiens,3,@,San Jose Sharks,4,L,summary
"Friday, March 5, 2004",2003-04,Montreal Canadiens,4,@,Phoenix Coyotes,3,W,summary
"Saturday, March 6, 2004",2003-04,Montreal Canadiens,4,@,Los Angeles Kings,2,W,summary
"Monday, March 8, 2004",2003-04,Montreal Canadiens,5,@,Anaheim Mighty Ducks,2,W,summary
"Jeu./Thu., 11 Mar. 2004",2003-04,Florida Panthers,3,@,Montreal Canadiens,2,L (OT),summary
"Sam./Sat., 13 Mar. 2004",2003-04,Toronto Maple Leafs,3,@,Montreal Canadiens,4,W,summary
"Mar./Tue., 16 Mar. 2004",2003-04,Colorado Avalanche,2,@,Montreal Canadiens,4,W,summary
"Friday, March 19, 2004",2003-04,Montreal Canadiens,1,@,New Jersey Devils,1,T,summary
"Sam./Sat., 20 Mar. 2004",2003-04,New Jersey Devils,2,@,Montreal Canadiens,3,W,summary
"Wednesday, March 24, 2004",2003-04,Montreal Canadiens,1,@,Buffalo Sabres,2,L,summary
"Jeu./Thu., 25 Mar. 2004",2003-04,Ottawa Senators,4,@,Montreal Canadiens,0,L,summary
"Saturday, March 27, 2004",2003-04,Montreal Canadiens,2,@,Boston Bruins,3,L (OT),summary
"Wednesday, March 31, 2004",2003-04,Montreal Canadiens,1,@,New York Islanders,5,L,summary
"Jeu./Thu., 1 Avr./Apr. 2004",2003-04,Philadelphia Flyers,2,@,Montreal Canadiens,0,L,summary
"Sam./Sat., 3 Avr./Apr. 2004",2003-04,Buffalo Sabres,3,@,Montreal Canadiens,6,W,summary
"Wednesday, October 5, 2005",2005-06,Montreal Canadiens,2,@,Boston Bruins,1,W,summary
"Thursday, October 6, 2005",2005-06,Montreal Canadiens,4,@,New York Rangers,3,W,summary
"Saturday, October 8, 2005",2005-06,Montreal Canadiens,5,@,Toronto Maple Leafs,4,W,summary
"Mar./Tue., 11 Oct. 2005",2005-06,Ottawa Senators,4,@,Montreal Canadiens,2,L,summary
"Wednesday, October 12, 2005",2005-06,Montreal Canadiens,2,@,Atlanta Thrashers,0,W,summary
"Sam./Sat., 15 Oct. 2005",2005-06,Toronto Maple Leafs,3,@,Montreal Canadiens,2,L,summary
"Mar./Tue., 18 Oct. 2005",2005-06,Boston Bruins,3,@,Montreal Canadiens,4,W,summary
"Sam./Sat., 22 Oct. 2005",2005-06,New York Islanders,3,@,Montreal Canadiens,4,W,summary
"Mar./Tue., 25 Oct. 2005",2005-06,Philadelphia Flyers,2,@,Montreal Canadiens,3,W (OT),summary
"Thursday, October 27, 2005",2005-06,Montreal Canadiens,3,@,Ottawa Senators,4,L (OT),summary
"Sam./Sat., 29 Oct. 2005",2005-06,New York Rangers,5,@,Montreal Canadiens,2,L,summary
"Monday, October 31, 2005",2005-06,Montreal Canadiens,4,@,New York Rangers,1,W,summary
"Mar./Tue., 1 Nov. 2005",2005-06,Florida Panthers,4,@,Montreal Canadiens,5,W (OT),summary
"Friday, November 4, 2005",2005-06,Montreal Canadiens,3,@,Buffalo Sabres,2,W,summary
"Sam./Sat., 5 Nov. 2005",2005-06,Buffalo Sabres,2,@,Montreal Canadiens,3,W,summary
"Mar./Tue., 8 Nov. 2005",2005-06,Tampa Bay Lightning,2,@,Montreal Canadiens,3,W,summary
"Thursday, November 10, 2005",2005-06,Montreal Canadiens,2,@,Pittsburgh Penguins,3,L (SO),summary
"Sam./Sat., 12 Nov. 2005",2005-06,Toronto Maple Leafs,5,@,Montreal Canadiens,4,L (OT),summary
"Mar./Tue., 15 Nov. 2005",2005-06,Florida Panthers,3,@,Montreal Canadiens,4,W (OT),summary
"Friday, November 18, 2005",2005-06,Montreal Canadiens,3,@,New Jersey Devils,5,L,summary
"Sam./Sat., 19 Nov. 2005",2005-06,Washington Capitals,5,@,Montreal Canadiens,1,L,summary
"Mar./Tue., 22 Nov. 2005",2005-06,Atlanta Thrashers,2,@,Montreal Canadiens,3,W (OT),summary
"Friday, November 25, 2005",2005-06,Montreal Canadiens,1,@,Buffalo Sabres,3,L,summary
"Saturday, November 26, 2005",2005-06,Montreal Canadiens,3,@,Toronto Maple Leafs,4,L (OT),summary
"Tuesday, November 29, 2005",2005-06,Montreal Canadiens,0,@,Ottawa Senators,4,L,summary
"Jeu./Thu., 1 Dec. 2005",2005-06,Buffalo Sabres,3,@,Montreal Canadiens,2,L (OT),summary
"Sam./Sat., 3 Dec. 2005",2005-06,Los Angeles Kings,2,@,Montreal Canadiens,3,W,summary
"Sam./Sat., 10 Dec. 2005",2005-06,Anaheim Mighty Ducks,5,@,Montreal Canadiens,3,L,summary
"Mar./Tue., 13 Dec. 2005",2005-06,Phoenix Coyotes,2,@,Montreal Canadiens,5,W,summary
"Thursday, December 15, 2005",2005-06,Montreal Canadiens,3,@,Edmonton Oilers,5,L,summary
"Saturday, December 17, 2005",2005-06,Montreal Canadiens,3,@,Minnesota Wild,4,L (OT),summary
"Mar./Tue., 20 Dec. 2005",2005-06,Ottawa Senators,3,@,Montreal Canadiens,4,W (OT),summary
"Friday, December 23, 2005",2005-06,Montreal Canadiens,2,@,Washington Capitals,4,L,summary
"Monday, December 26, 2005",2005-06,Montreal Canadiens,0,@,Atlanta Thrashers,4,L,summary
"Wednesday, December 28, 2005",2005-06,Montreal Canadiens,4,@,Tampa Bay Lightning,3,W,summary
"Friday, December 30, 2005",2005-06,Montreal Canadiens,1,@,Florida Panthers,2,L,summary
"Saturday, December 31, 2005",2005-06,Montreal Canadiens,3,@,Carolina Hurricanes,5,L,summary
"Mar./Tue., 3 Jan. 2006",2005-06,Pittsburgh Penguins,6,@,Montreal Canadiens,4,L,summary
"Thursday, January 5, 2006",2005-06,Montreal Canadiens,4,@,New Jersey Devils,5,L,summary
"Sam./Sat., 7 Jan. 2006",2005-06,Ottawa Senators,1,@,Montreal Canadiens,4,W,summary
"Wednesday, January 11, 2006",2005-06,Montreal Canadiens,1,@,Colorado Avalanche,2,L,summary
"Sam./Sat., 14 Jan. 2006",2005-06,San Jose Sharks,2,@,Montreal Canadiens,6,W,summary
"Lun./Mon., 16 Jan. 2006",2005-06,Dallas Stars,2,@,Montreal Canadiens,4,W,summary
"Thursday, January 19, 2006",2005-06,Montreal Canadiens,2,@,Calgary Flames,3,L,summary
"Saturday, January 21, 2006",2005-06,Montreal Canadiens,2,@,Vancouver Canucks,6,L,summary
"Monday, January 23, 2006",2005-06,Montreal Canadiens,3,@,Carolina Hurricanes,7,L,summary
"Wednesday, January 25, 2006",2005-06,Montreal Canadiens,5,@,Philadelphia Flyers,3,W,summary
"Thursday, January 26, 2006",2005-06,Montreal Canadiens,0,@,Ottawa Senators,3,L,summary
"Saturday, January 28, 2006",2005-06,Montreal Canadiens,4,@,Toronto Maple Leafs,3,W (OT),summary
"Mar./Tue., 31 Jan. 2006",2005-06,Carolina Hurricanes,8,@,Montreal Canadiens,2,L,summary
"Thursday, February 2, 2006",2005-06,Montreal Canadiens,1,@,Boston Bruins,3,L,summary
"Sam./Sat., 4 Fev./Feb. 2006",2005-06,Boston Bruins,0,@,Montreal Canadiens,2,W,summary
"Dim./Sun., 5 Fev./Feb. 2006",2005-06,Philadelphia Flyers,0,@,Montreal Canadiens,5,W,summary
"Mar./Tue., 7 Fev./Feb. 2006",2005-06,Buffalo Sabres,3,@,Montreal Canadiens,2,L (OT),summary
"Thursday, February 9, 2006",2005-06,Montreal Canadiens,3,@,Buffalo Sabres,2,W,summary
"Sam./Sat., 11 Fev./Feb. 2006",2005-06,Atlanta Thrashers,2,@,Montreal Canadiens,1,L (OT),summary
"Tuesday, February 28, 2006",2005-06,Montreal Canadiens,5,@,New York Islanders,3,W,summary
"Thursday, March 2, 2006",2005-06,Montreal Canadiens,1,@,Florida Panthers,0,W,summary
"Saturday, March 4, 2006",2005-06,Montreal Canadiens,6,@,Tampa Bay Lightning,2,W,summary
"Monday, March 6, 2006",2005-06,Montreal Canadiens,4,@,Philadelphia Flyers,5,L (SO),summary
"Tuesday, March 7, 2006",2005-06,Montreal Canadiens,3,@,Toronto Maple Leafs,5,L,summary
"Thursday, March 9, 2006",2005-06,Montreal Canadiens,3,@,Boston Bruins,0,W,summary
"Sam./Sat., 11 Mar. 2006",2005-06,New York Rangers,0,@,Montreal Canadiens,1,W,summary
"Lun./Mon., 13 Mar. 2006",2005-06,Tampa Bay Lightning,2,@,Montreal Canadiens,1,L,summary
"Jeu./Thu., 16 Mar. 2006",2005-06,Carolina Hurricanes,5,@,Montreal Canadiens,1,L,summary
"Sam./Sat., 18 Mar. 2006",2005-06,Pittsburgh Penguins,5,@,Montreal Canadiens,4,L,summary
"Monday, March 20, 2006",2005-06,Montreal Canadiens,4,@,Washington Capitals,2,W,summary
"Tuesday, March 21, 2006",2005-06,Montreal Canadiens,1,@,New York Islanders,3,L,summary
"Jeu./Thu., 23 Mar. 2006",2005-06,Toronto Maple Leafs,1,@,Montreal Canadiens,5,W,summary
"Sam./Sat., 25 Mar. 2006",2005-06,Toronto Maple Leafs,2,@,Montreal Canadiens,6,W,summary
"Sunday, March 26, 2006",2005-06,Montreal Canadiens,6,@,Pittsburgh Penguins,5,W,summary
"Mar./Tue., 28 Mar. 2006",2005-06,New York Islanders,0,@,Montreal Canadiens,2,W,summary
"Jeu./Thu., 30 Mar. 2006",2005-06,Washington Capitals,2,@,Montreal Canadiens,3,W (OT),summary
